Имя,Никнейм/Название,Платформа,Ссылка,Аудитория,Описание
Джанет Дженкинс,@msjeanettejenkins,Instagram,https://instagram.com/msjeanettejenkins,500,Hollywood Trainer Club
Людмила Оверковская,@overkovskaja,Instagram,https://instagram.com/overkovskaja,400,Sport Life тренер
Антонина Верьёмина,@veremina_fit,TikTok,https://tiktok.com/veremina_fit,4.5M,"Сертифицированный фитнес-тренер, домашние тренировки"
Егор Крупкин,@zazozh_crupkin,TikTok,https://tiktok.com/zazozh_crupkin,1.4M,"Проект 'ЗАЗОЖ', ЗОЖ, правильное питание"
Алексей Столяров,@stoliarovaleksei,TikTok,https://tiktok.com/stoliarovaleksei,500K+,Трюки и спортивные челленджи
Диана Сонина,@soninadiana,TikTok,https://tiktok.com/soninadiana,365K,"Правильное питание, домашние тренировки"
Анастасия Кобцева,@kobtsevaaaa,TikTok,https://tiktok.com/kobtsevaaaa,200K+,"Художественная гимнастика, стретчинг"
Анатолий Горячев,@sistimatela,TikTok,https://tiktok.com/sistimatela,200K+,"Уличные тренировки, турник, подтягивания"
Валерия Тэн,@tenva,TikTok,https://tiktok.com/tenva,150K+,"Фитнес-мама, восстановление после родов"
Анна Beautyfit,@anna_beautyfit,TikTok,https://tiktok.com/anna_beautyfit,120K+,"Диетолог, фитнес-тренер, пилатес"
Алина Чарова,@alinacharova,TikTok,https://tiktok.com/alinacharova,100K+,"Модель, фитнес, правильное питание"
Никита Игошев,@nikita_igoshchev,TikTok,https://tiktok.com/nikita_igoshchev,90K,"Похудение, meal plans, workout programs"
Павел Тулюпа,@pavel_tulupa,TikTok,https://tiktok.com/pavel_tulupa,85K,"Научный подход, muscle growth, fat loss"
Владимир Олефиренко,@vladimir_olefirenko,TikTok,https://tiktok.com/vladimir_olefirenko,80K,"Transformation, weight loss, muscle gain"
Гога Тупурия,@goga_tupuria,TikTok,https://tiktok.com/goga_tupuria,75K,"Strength training, wrestling, bodybuilding"
Виктор Евгеньч Блуд,@victor_blud,TikTok,https://tiktok.com/victor_blud,70K,"Strength training, personal development"
Марина Кострова,@marina_kostrova,TikTok,https://tiktok.com/marina_kostrova,65K,"Functional training, women's health"
Андрей Филипов,@andrey_filippov,TikTok,https://tiktok.com/andrey_filippov,60K,"G10 Marathon founder, functional workouts"
Александр Айрон,@alexander_iron,TikTok,https://tiktok.com/alexander_iron,55K,"Humor, bodybuilding, reactions"
Наташа Зеленова,@natasha_zelenova,TikTok,https://tiktok.com/natasha_zelenova,50K,"Lifestyle, humor, weight loss journey"
Виктория Шмидт,@victoria_schmidt,TikTok,https://tiktok.com/victoria_schmidt,45K,Fitness and food blogger
Егор Пенкин,@egorpenkin,TikTok,https://tiktok.com/egorpenkin,40K,"Healthy Future school, functional movement"
Анастасия Давлетова,@anastasia_davletova,TikTok,https://tiktok.com/anastasia_davletova,38K,"Fitness tips, women's empowerment"
Андрей Луценко,@andrei_lutsenko,TikTok,https://tiktok.com/andrei_lutsenko,35K,"Powerlifting, arm wrestling"
Софья Сафронова,@sofasofit,TikTok,https://tiktok.com/sofasofit,32K,"Safe workouts, hernias, diastasis"
Юна -Фея,@yuna_feya,TikTok,https://tiktok.com/yuna_feya,30K,"Weight loss, healthy recipes"
Валерия Бервольф,@valeriyabearwolf,TikTok,https://tiktok.com/valeriyabearwolf,28K,"Фитнес-тренер, модель, певица"
Лиза Анохина,@anokhinalz,TikTok,https://tiktok.com/anokhinalz,25K,"Танцы, позитив, энергия"
Тузелити,@tuzelity,TikTok,https://tiktok.com/tuzelity,23K,"Танцевальные челленджи, команда"
Ника Лейтинк,@leytink,TikTok,https://tiktok.com/leytink,22K,"Акробатические трюки, гимнастика"
Кирилл Колесников,@thekiryalife,TikTok,https://tiktok.com/thekiryalife,20K,"Танцы, комедийные скетчи"
Дина Саева,@senoritasaeva,TikTok,https://tiktok.com/senoritasaeva,18K,"Танцы, красивые образы"
Светлана Андреева,@svetlana_andreeva_coach,TikTok,https://tiktok.com/svetlana_andreeva_coach,16K,"Тренер по боксу, подходы"
Артем Тренер,@art_trener,TikTok,https://tiktok.com/art_trener,15K,"Программы, ведение онлайн"
Катерина Канева,@katerina_fitnes79,TikTok,https://tiktok.com/katerina_fitnes79,14K,"Богини фитнеса, спортивный блог"
Влад Gregorovich,@vgregorovich,TikTok,https://tiktok.com/vgregorovich,12K,"Gym, workout, motivation"
Crazy Russian Dad,@crazyrussiandad,TikTok,https://tiktok.com/crazyrussiandad,11K,Russian Fitness Coach
Айдар Шаффл,@tuzelity,TikTok,https://tiktok.com/tuzelity,10K,"Шаффл танцы, Казань"
Ася Селедкина,@badassel,TikTok,https://tiktok.com/badassel,9K,"Workout routines, обзоры"
Нурбота,@nurba_fit,TikTok,https://tiktok.com/nurba_fit,8K,"Похудение, правильный образ жизни"
Маулида,@im_maulida,TikTok,https://tiktok.com/im_maulida,7K,Фитнес контент
Фитнес Мама,@fitness_mama_ru,TikTok,https://tiktok.com/fitness_mama_ru,6K,Фитнес для мам
Здоровый Образ,@healthy_life_ru,TikTok,https://tiktok.com/healthy_life_ru,5.5K,"ЗОЖ, мотивация"
Спортивная Семья,@sport_family_ru,TikTok,https://tiktok.com/sport_family_ru,5K,Семейный фитнес
Фитнес Дома,@fitness_at_home_ru,TikTok,https://tiktok.com/fitness_at_home_ru,4.5K,Домашние тренировки
Тренер Анна,@trainer_anna_ru,TikTok,https://tiktok.com/trainer_anna_ru,4K,Персональные тренировки
Фитнес Блог,@fitness_blog_ru,TikTok,https://tiktok.com/fitness_blog_ru,3.5K,Фитнес советы
ЗОЖ Жизнь,@zozh_life_ru,TikTok,https://tiktok.com/zozh_life_ru,3K,Здоровый образ жизни
Фитнес Мотивация,@fitness_motivation_ru,TikTok,https://tiktok.com/fitness_motivation_ru,2.8K,Мотивация для тренировок
Спортивные Советы,@sport_tips_ru,TikTok,https://tiktok.com/sport_tips_ru,2.5K,Полезные советы
Фитнес Для Начинающих,@fitness_for_beginners,TikTok,https://tiktok.com/fitness_for_beginners,2K,Тренировки для новичков
Здоровое Питание,@healthy_food_ru,TikTok,https://tiktok.com/healthy_food_ru,1.8K,Правильное питание
Фитнес Тренер Онлайн,@fitness_trainer_online,TikTok,https://tiktok.com/fitness_trainer_online,1.5K,Онлайн тренировки
Спортивное Питание,@sport_nutrition_ru,TikTok,https://tiktok.com/sport_nutrition_ru,1.2K,Спортивное питание
Фитнес Девушки,@fitness_girls_ru,TikTok,https://tiktok.com/fitness_girls_ru,1K,Фитнес для девушек
Тренировки Дома,@home_workouts_ru,TikTok,https://tiktok.com/home_workouts_ru,900,Домашние тренировки
Фитнес Инструктор,@fitness_instructor_ru,TikTok,https://tiktok.com/fitness_instructor_ru,800,Фитнес инструкции
ЗОЖ Блог,@zozh_blog_ru,TikTok,https://tiktok.com/zozh_blog_ru,700,Блог о ЗОЖ
Фитнес Марафон,@fitness_marathon_ru,TikTok,https://tiktok.com/fitness_marathon_ru,600,Фитнес марафоны
Спортивная Мотивация,@sport_motivation_ru,TikTok,https://tiktok.com/sport_motivation_ru,500,Мотивация для спорта
Антонина Верьёмина,ВЕРЬЁМИНА,YouTube,https://youtube.com/c/верьёмина,4.5M,"Домашние тренировки, похудение, здоровье"
Дикий Лось,Дикий Лось,YouTube,https://youtube.com/c/дикийлось,3.83M,"Фитнес, мотивация, трансформации"
SJBody,SJBody,YouTube,https://youtube.com/c/sjbody,2.26M,"Бодибилдинг, тренировки, питание"
Катя Медушкина,Катя Медушкина,YouTube,https://youtube.com/c/катямедушкина,2.04M,"Бикини фитнес, нутрициология"
ЖЖГИСЬ,ЖЖГИСЬ,YouTube,https://youtube.com/c/жжгись,1.72M,"Похудение, мотивация, ЗОЖ"
BIOMACHINE,BIOMACHINE,YouTube,https://youtube.com/c/biomachine,1.62M,"Фитнес оборудование, тренировки"
Ivan Krasavin,Ivan Krasavin,YouTube,https://youtube.com/c/ivankrasavin,1.60M,"Фитнес тренер, персональные программы"
your fit,your fit,YouTube,https://youtube.com/c/yourfit,1.41M,"Фитнес для всех, домашние тренировки"
Егор ЗАЗОЖ,Егор ЗАЗОЖ,YouTube,https://youtube.com/c/егорзазож,1.35M,"ЗОЖ, правильное питание, здоровье"
Игорь Войтенко,Игорь Войтенко Тренировки,YouTube,https://youtube.com/c/игорьвойтенкотренировки,1.34M,"Фитнес тренировки, мотивация"
Denis Semenikhin,Denis Semenikhin,YouTube,https://youtube.com/c/denissemenikhin,1.18M,"Фитнес тренер, онлайн программы"
Марина Кострова,Марина Кострова,YouTube,https://youtube.com/c/маринакострова,1.06M,"Функциональный тренинг, женское здоровье"
FreshLife28,FreshLife28,YouTube,https://youtube.com/c/freshlife28,957K,"Фитнес, здоровье, мотивация"
Пенкин Егор,Пенкин Егор - Здоровое Будущее,YouTube,https://youtube.com/c/пенкинегор-здоровоебудущее,929K,"Функциональное движение, биомеханика"
Александр Сахний,Александр Сахний,YouTube,https://youtube.com/c/александрсахний,846K,"Фитнес тренер, питание"
АНДРЕЙ ФИЛИППОВ,АНДРЕЙ ФИЛИППОВ,YouTube,https://youtube.com/c/андрейфилиппов,817K,"G10 Marathon, функциональные тренировки"
Karalinablog,Karalinablog - Самый Охудительный Блог,YouTube,https://youtube.com/c/karalinablog-самыйохудительныйблог,809K,"Похудение, мотивация"
22X22,22X22 (Маша и Никита),YouTube,https://youtube.com/c/22x22(машаиникита),808K,"Фитнес пара, тренировки вдвоем"
flynutrition,flynutrition,YouTube,https://youtube.com/c/flynutrition,800K,"Нутрициология, правильное питание"
Павел Тулюпа,Павел Тулюпа,YouTube,https://youtube.com/c/павелтулюпа,753K,"Научный подход, программа TFA"
Влад Литвиненко,Влад Литвиненко,YouTube,https://youtube.com/c/владлитвиненко,740K,"Фитнес, бодибилдинг"
neofit,neofit,YouTube,https://youtube.com/c/neofit,721K,"Фитнес для начинающих, мотивация"
Smart Ballet,Smart Ballet (И.Л. Кузнецов и Сол Ким),YouTube,https://youtube.com/c/smartballet(и.л.кузнецовисолким),676K,"Балет, гибкость, растяжка"
Vladimir Olefirenko,Vladimir Olefirenko,YouTube,https://youtube.com/c/vladimirolefirenko,672K,"Transformation, lifestyle"
Арина Рыкова,Арина Рыкова,YouTube,https://youtube.com/c/аринарыкова,654K,"Фитнес тренер, онлайн программы"
Юрий Спасокукоцкий,"Юрий Спасокукоцкий - Фитнес , Диета, Обо Всём",YouTube,"https://youtube.com/c/юрийспасокукоцкий-фитнес,диета,обовсём",614K,"Фитнес эксперт, диеты"
Денис Черногузов,Денис Черногузов,YouTube,https://youtube.com/c/денисчерногузов,587K,"Бодибилдинг, фитнес"
ЗОЖ с Сарматом,ЗОЖ с Сарматом,YouTube,https://youtube.com/c/зожссарматом,586K,Здоровый образ жизни
Знаю и Делаю,Знаю и Делаю,YouTube,https://youtube.com/c/знаюиделаю,575K,"Фитнес советы, практика"
YOGA ROGGELIN,YOGA ROGGELIN,YouTube,https://youtube.com/c/yogaroggelin,559K,"Йога, растяжка, духовное развитие"
ДелайТело,ДелайТело,YouTube,https://youtube.com/c/делайтело,559K,"Трансформация тела, тренировки"
Fitness Babbie,Fitness Babbie,YouTube,https://youtube.com/c/fitnessbabbie,541K,Фитнес для девушек
Usmanova TV и GymTeam,Usmanova TV и GymTeam,YouTube,https://youtube.com/c/usmanovatvиgymteam,514K,"Екатерина Усманова, команда"
Надежда Пахирко нутрициолог,Надежда Пахирко нутрициолог,YouTube,https://youtube.com/c/надеждапахирконутрициолог,498K,"Нутрициология, похудение"
Alexei Shredder,Alexei Shredder,YouTube,https://youtube.com/c/alexeishredder,431K,"Фитнес, резка, сушка"
MIKE BOREYKO,MIKE BOREYKO,YouTube,https://youtube.com/c/mikeboreyko,405K,"Бодибилдинг, тренировки"
Анастасия Краснова,Анастасия Краснова,YouTube,https://youtube.com/c/анастасиякраснова,393K,"Фитнес тренер, мотивация"
Марина Корпан,Марина Корпан похудение оксисайз бодифлекс,YouTube,https://youtube.com/c/маринакорпанпохудениеоксисайзбодифлекс,373K,"Оксисайз, бодифлекс"
Valery Zhumadilov,Valery Zhumadilov,YouTube,https://youtube.com/c/valeryzhumadilov,369K,"Фитнес, здоровье"
Лера Логунова,Лера Логунова,YouTube,https://youtube.com/c/лералогунова,363K,"Фитнес тренер, онлайн программы"
Evolution Yeti,Evolution Yeti,YouTube,https://youtube.com/c/evolutionyeti,359K,"Фитнес, эволюция тела"
МИНИ ПЕККА,МИНИ ПЕККА,YouTube,https://youtube.com/c/минипекка,354K,"Фитнес, мотивация"
ЗДОРОВОЕ ТЕЛО с Сергеем Черновым,ЗДОРОВОЕ ТЕЛО с Сергеем Черновым,YouTube,https://youtube.com/c/здоровоетелоссергеемчерновым,350K,"Здоровое тело, тренировки"
Станислав Линдовер,Станислав Линдовер,YouTube,https://youtube.com/c/станиславлиндовер,334K,"Фитнес, лайфстайл"
Татьяна Метельская,Татьяна Метельская,YouTube,https://youtube.com/c/татьянаметельская,313K,"Фитнес тренер, тренировки"
VVPROFITNESS,VVPROFITNESS,YouTube,https://youtube.com/c/vvprofitness,312K,"Фитнес, профит"
Игорь Ковтун,Игорь Ковтун,YouTube,https://youtube.com/c/игорьковтун,310K,Фитнес тренер
Denis Gusev,Denis Gusev,YouTube,https://youtube.com/c/denisgusev,289K,"Фитнес, бодибилдинг"
Алексей Гордовский,Алексей Гордовский,YouTube,https://youtube.com/c/алексейгордовский,283K,Фитнес инструктор
ФИТНЕС ТРЕНЕР ИННА,ФИТНЕС ТРЕНЕР ИННА,YouTube,https://youtube.com/c/фитнестренеринна,272K,Фитнес тренер для женщин
Екатерина Кононова,Я худею с Екатериной Кононовой,YouTube,https://youtube.com/c/яхудеюсекатеринойкононовой,250K,Фитнес для похудения
Янелия Скрипник,FitnessoManiya,YouTube,https://youtube.com/c/fitnessomaniya,240K,"Интенсивные тренировки, ВИИТ"
Катерина Буйда,Катерина Буйда,YouTube,https://youtube.com/c/катеринабуйда,250K,"FITOYOGA, йога для женщин"
Катя Энерджи,Нет предела совершенству,YouTube,https://youtube.com/c/нетпределасовершенству,200K,Фитнес для мам
Ольга Сагай,Olga Sagay,YouTube,https://youtube.com/c/olgasagay,180K,"Гибкое тело, растяжка"
Анна Цукур,Anna Tsukur,YouTube,https://youtube.com/c/annatsukur,150K,Интервальные тренировки
Chloe Ting,Chloe Ting,YouTube,https://youtube.com/c/chloeting,5.2M,"Тренировки для девушек, похудение"
Leslie Sansone,Walk at Home,YouTube,https://youtube.com/c/walkathome,3.1M,Ходьба для похудения
Fitness Blender,Fitness Blender,YouTube,https://youtube.com/c/fitnessblender,6.8M,800+ видео-тренировок
Yoga With Adriene,Yoga With Adriene,YouTube,https://youtube.com/c/yogawithadriene,12M,Йога для всех уровней
Denise Austin,BeFit,YouTube,https://youtube.com/c/befit,1.8M,Классические фитнес программы
GymRa,GymRa,YouTube,https://youtube.com/c/gymra,2.4M,Тренировки от разных тренеров
Екатерина Усманова,@usmanova_gymteam,Telegram,https://t.me/usmanova_gymteam,60K+,"Программы тренировок, GymTeam"
New York Fitspo,@newyorkfitspo,Telegram,https://t.me/newyorkfitspo,134K+,Школа здорового фитнеса
Татьяна Метельская,@tanya_yourfit,Telegram,https://t.me/tanya_yourfit,56K+,Бесплатные тренировки и мотивация
Фитнес-семья Мишанковых,@goodiets,Telegram,https://t.me/goodiets,57K+,ПП-питание и фитнес для всей семьи
Таня Рыбакова,@tanya_rybakova_public,Telegram,https://t.me/tanya_rybakova_public,3.6K+,Похудение и мотивация (+55кг)
Push Yourself,@pushyourself,Telegram,https://t.me/pushyourself,2.8K+,"Фитнес-лайфхаки, советы"
40 кг — худеем вместе,@kg40telegram,Telegram,https://t.me/kg40telegram,5.3K,Диетические рецепты и рационы
Фигура-без-перекура,@fitness_figura,Telegram,https://t.me/fitness_figura,6.5K,Картинки и инфографика по фитнесу
Тайна похудения,@taina_pohudeniya,Telegram,https://t.me/taina_pohudeniya,28K,Упражнения и ПП-рецепты до 15 минут
Mini Fitness,@minifitness,Telegram,https://t.me/minifitness,6.8K,Бесплатные гайды и чек-листы
В здоровом теле - здоровый дух!,@sport_smen,Telegram,https://t.me/sport_smen,303K,"Спортсмен, здоровье и фитнес"
Тело в дело,@body_business,Telegram,https://t.me/body_business,189K,"Спорт, правильное питание, ЗОЖ"
Бегать просто,@running_simple,Telegram,https://t.me/running_simple,129K,"Бег для любителей, научный подход"
ФИТНЕС || ПОПА КАК ОРЕХ,@fitness_peach,Telegram,https://t.me/fitness_peach,37K,Тренировки для ягодиц
Фитнес Кухня,@fitness_kitchen,Telegram,https://t.me/fitness_kitchen,29K,Рецепты для правильного питания
СТРОЙНАЯ,@stroynaya_fit,Telegram,https://t.me/stroynaya_fit,28K,"Правильное питание, упражнения"
Тренер: Диеты|Фитнес,@trainer_diets,Telegram,https://t.me/trainer_diets,18K,"Фитнес, диеты, похудение"
Keforma Sport Club,@keforma_sport,Telegram,https://t.me/keforma_sport,18K,Главный спортивный проект Siberian Wellness
Спорт и Фитнес,@sport_and_fitness,Telegram,https://t.me/sport_and_fitness,14K,"Тренировки, питание и мотивация"
Сияй,@siya_inspiration,Telegram,https://t.me/siya_inspiration,10K,"Заметки девушки, здоровье и красота"
Изнутри и снаружи,@inside_out_weightloss,Telegram,https://t.me/inside_out_weightloss,6.9K,"Похудение, комплексный подход"
Музыка для фитнеса 2025,@fitness_music_2025,Telegram,https://t.me/fitness_music_2025,6.5K,Бесплатные сборники музыки
"Фитнес, диеты, похудение",@fitness_diet_weightloss,Telegram,https://t.me/fitness_diet_weightloss,5.8K,Комплексный подход к похудению
Palina Salina,@palina_salina,Telegram,https://t.me/palina_salina,219,Мастер спорта по воздушной акробатике
Light Flow Yoga,@light_flow_yoga,Telegram,https://t.me/light_flow_yoga,219,Йога и пилатес для тела и души
Fonballet Studio,@fonballet_studio,Telegram,https://t.me/fonballet_studio,219,Балет для всех
RefilSpace,@refilspace_moscow,Telegram,https://t.me/refilspace_moscow,172,"Фитнес, растяжка, йога, пилатес"
Juraev_coach,@juraev_coach,Telegram,https://t.me/juraev_coach,114,"Фитнес, бег, здоровый образ жизни"
Obraz Fit,@obraz_fit,Telegram,https://t.me/obraz_fit,105,Осанка и спина без боли
Veligura Anna,@veligura_anna,Telegram,https://t.me/veligura_anna,67,"Фитнес-тренер, поддержка"
"Фитнес, Диета и Тренировки",@fitness_diet_workouts,Telegram,https://t.me/fitness_diet_workouts,14,Для мужчин и женщин
Фитнес Тренер Онлайн,@fitness_trainer_online,Telegram,https://t.me/fitness_trainer_online,1.5K,Онлайн тренировки
Здоровое Питание,@healthy_food_tips,Telegram,https://t.me/healthy_food_tips,1.8K,Советы по питанию
Тренировки Дома,@home_workouts_ru,Telegram,https://t.me/home_workouts_ru,900,Домашние тренировки
Фитнес Инструктор,@fitness_instructor_ru,Telegram,https://t.me/fitness_instructor_ru,800,Инструкции по фитнесу
ЗОЖ Блог,@zozh_blog_tg,Telegram,https://t.me/zozh_blog_tg,700,Блог о здоровом образе жизни
Фитнес Марафон,@fitness_marathon_tg,Telegram,https://t.me/fitness_marathon_tg,600,Марафоны и челленджи
Спортивная Мотивация,@sport_motivation_tg,Telegram,https://t.me/sport_motivation_tg,500,Мотивация для спорта
Фитнес Для Начинающих,@fitness_beginners,Telegram,https://t.me/fitness_beginners,2K,Тренировки для новичков
Здоровое Питание,@healthy_nutrition_tg,Telegram,https://t.me/healthy_nutrition_tg,1.2K,Питание и диеты
Фитнес Девушки,@fitness_girls_tg,Telegram,https://t.me/fitness_girls_tg,1K,Фитнес для прекрасного пола
Спортивное Питание,@sport_nutrition_tg,Telegram,https://t.me/sport_nutrition_tg,1.2K,БАДы и добавки
Фитнес Советы,@fitness_tips_daily,Telegram,https://t.me/fitness_tips_daily,800,Ежедневные советы
Тренер Онлайн,@trainer_online,Telegram,https://t.me/trainer_online,600,Онлайн консультации
Фитнес Программы,@fitness_programs,Telegram,https://t.me/fitness_programs,500,Готовые программы
ЗОЖ Мотивация,@zozh_motivation,Telegram,https://t.me/zozh_motivation,400,Мотивация ЗОЖ
Фитнес Эксперт,@fitness_expert,Telegram,https://t.me/fitness_expert,300,Экспертные советы
Тренировки и Питание,@workouts_nutrition,Telegram,https://t.me/workouts_nutrition,200,Комплексный подход
Татьяна Метельская,Тренировки и Рецепты,ВКонтакте,https://vk.com/тренировки_и_рецепты,196K,"Профессиональные тренировки, видео"
Никита Игошев,ЖЖГИСЬ - Похудение,ВКонтакте,https://vk.com/жжгись_-_похудение,102K,Похудение от профессионала (+30кг)
Денис Черногузов,Фитнес-тренер,ВКонтакте,https://vk.com/фитнес-тренер,100K,"Бодибилдинг, фитнес, чемпионаты"
Анастасия Лунегова,Личная страница,ВКонтакте,https://vk.com/личная_страница,90K,"Фитнес-тренер, 14+ лет опыта"
Марина Кострова,Про Движение,ВКонтакте,https://vk.com/про_движение,69K,"Упражнения для здоровья, женское здоровье"
Игорь Молот,Спортивные советы,ВКонтакте,https://vk.com/спортивные_советы,50K+,Высшее физкультурное образование
YOGA work,YOGA work,ВКонтакте,https://vk.com/yoga_work,76K,"Йога, хатха, аштанга, фитнес-йога"
Smstretching,Smstretching,ВКонтакте,https://vk.com/smstretching,9.7K,"Растяжка, кардио, бокс, пилатес"
Побег от жира,Блог Лучшей в Мире Худительницы,ВКонтакте,https://vk.com/блог_лучшей_в_мире_худительницы,44K,"Тренировки, растяжка, питание"
